applicant,process,rental_type,tenancy_status,claim_code,n,granted,dismissed,settled,other
Landlord,DirectRequest,Home,InUnit,102,4,0,2,0,2
Landlord,DirectRequest,Home,InUnit,103,1,0,0,0,1
Landlord,DirectRequest,Home,InUnit,107,1,0,0,0,1
Landlord,DirectRequest,Home,InUnit,108,1,0,0,0,1
Landlord,DirectRequest,Home,InUnit,111,8502,7640,849,0,13
Landlord,DirectRequest,Home,InUnit,114,1,0,0,0,1
Landlord,DirectRequest,Home,InUnit,123,8573,7689,866,0,18
Landlord,DirectRequest,Home,InUnit,124,276,190,62,0,24
Landlord,DirectRequest,Home,InUnit,125,7482,5373,2090,0,19
Landlord,DirectRequest,Home,InUnit,126,256,130,99,0,27
Landlord,DirectRequest,Home,InUnit,143,855,801,51,0,3
Landlord,DirectRequest,Home,InUnit,144,7,5,1,0,1
Landlord,DirectRequest,Home,InUnit,145,51,49,2,0,0
Landlord,DirectRequest,Home,InUnit,146,74,64,10,0,0
Landlord,DirectRequest,Home,InUnit,226,1,0,0,0,1
Landlord,DirectRequest,Home,InUnit,227,1,0,0,0,1
Landlord,DirectRequest,Home,MovedOut,111,1,0,1,0,0
Landlord,DirectRequest,Home,MovedOut,127,1,0,1,0,0
Landlord,DirectRequest,Home,MovedOut,129,1,0,1,0,0
Landlord,DirectRequest,Home,MovedOut,136,1,1,0,0,0
Landlord,DirectRequest,Home,MovedOut,142,1,0,1,0,0
Landlord,DirectRequest,ManufHome,InUnit,111,87,70,15,0,2
Landlord,DirectRequest,ManufHome,InUnit,123,78,64,14,0,0
Landlord,DirectRequest,ManufHome,InUnit,124,2,0,1,0,1
Landlord,DirectRequest,ManufHome,InUnit,125,68,24,43,0,1
Landlord,DirectRequest,ManufHome,InUnit,126,2,0,1,0,1
Landlord,DirectRequest,ManufHome,InUnit,143,14,14,0,0,0
Landlord,Participatory,Home,InUnit,101,12,5,4,2,1
Landlord,Participatory,Home,InUnit,102,1106,704,211,124,67
Landlord,Participatory,Home,InUnit,103,111,50,30,17,14
Landlord,Participatory,Home,InUnit,104,488,267,114,62,45
Landlord,Participatory,Home,InUnit,105,19,15,2,1,1
Landlord,Participatory,Home,InUnit,106,47,6,27,7,7
Landlord,Participatory,Home,InUnit,107,237,74,99,19,45
Landlord,Participatory,Home,InUnit,108,618,386,125,60,47
Landlord,Participatory,Home,InUnit,110,283,92,126,28,37
Landlord,Participatory,Home,InUnit,111,4162,2665,859,503,135
Landlord,Participatory,Home,InUnit,113,1007,491,305,167,44
Landlord,Participatory,Home,InUnit,114,18,3,9,3,3
Landlord,Participatory,Home,InUnit,122,90,54,18,8,10
Landlord,Participatory,Home,InUnit,123,1247,827,201,140,79
Landlord,Participatory,Home,InUnit,124,84,51,17,5,11
Landlord,Participatory,Home,InUnit,125,1077,736,172,122,47
Landlord,Participatory,Home,InUnit,126,80,51,17,5,7
Landlord,Participatory,Home,InUnit,127,170,73,62,10,25
Landlord,Participatory,Home,InUnit,128,1014,679,169,112,54
Landlord,Participatory,Home,InUnit,129,370,150,125,41,54
Landlord,Participatory,Home,InUnit,131,16,10,3,1,2
Landlord,Participatory,Home,InUnit,132,29,6,13,8,2
